16:44:07.923593 IP 192.168.139.2 > 192.168.139.144: ICMP host 192.168.139.2 unreachable, length 104
16:44:09.422580 IP 192.168.139.2 > 192.168.139.144: ICMP host 192.168.139.2 unreachable, length 104
16:44:13.507193 ARP, Request who-has 192.168.139.144 (Broadcast) tell 192.168.139.142, length 46
16:44:13.507596 ARP, Reply 192.168.139.144 is-at 00:0c:29:9c:ce:04 (oui Unknown), length 46
16:44:13.710874 IP 192.168.139.142.50272 > 192.168.139.2.domain: 36189+ PTR? 144.139.168.192.in-addr.arpa. (46)
16:44:13.718894 IP 192.168.139.2.domain > 192.168.139.142.50272: 36189 NXDomain 0/1/0 (114)
16:44:13.721036 IP 192.168.139.142.40731 > 192.168.139.144.netbios-ssn: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.823593 IP 192.168.139.144.loc-srv > 192.168.139.142.40731: Flags [S.], seq 558433831, ack 2714494545, win 64240, options [mss 1460], length 0
16:44:14.823633 IP 192.168.139.144.telnet > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.823683 IP 192.168.139.144.1723 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.823719 IP 192.168.139.142.40731 > 192.168.139.144.pop3: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.823741 IP 192.168.139.142.40731 > 192.168.139.144.1720: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.823777 IP 192.168.139.142.40731 > 192.168.139.144.loc-srv: Flags [R], seq 2714494545, win 0, length 0
16:44:14.823800 IP 192.168.139.142.40731 > 192.168.139.144.radmin-port: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.823835 IP 192.168.139.142.40731 > 192.168.139.144.1900: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.823872 IP 192.168.139.142.40731 > 192.168.139.144.3128: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.823910 IP 192.168.139.142.40731 > 192.168.139.144.6646: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.823963 IP 192.168.139.144.pop3 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.823988 IP 192.168.139.144.1720 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.824023 IP 192.168.139.142.40731 > 192.168.139.144.x11-1: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.824049 IP 192.168.139.142.40731 > 192.168.139.144.144: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.824100 IP 192.168.139.144.radmin-port > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.824140 IP 192.168.139.144.1900 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.824189 IP 192.168.139.144.3128 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.824226 IP 192.168.139.144.6646 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.824262 IP 192.168.139.144.x11-1 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.824315 IP 192.168.139.142.40731 > 192.168.139.144.2001: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.824339 IP 192.168.139.142.40731 > 192.168.139.144.time: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.824375 IP 192.168.139.142.40731 > 192.168.139.144.shell: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.824412 IP 192.168.139.142.40731 > 192.168.139.144.ftps: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.824454 IP 192.168.139.142.40731 > 192.168.139.144.1755: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.824492 IP 192.168.139.142.40731 > 192.168.139.144.ms-sql-s: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.824514 IP 192.168.139.142.40731 > 192.168.139.144.webmin: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.824549 IP 192.168.139.142.40731 > 192.168.139.144.9100: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.824587 IP 192.168.139.142.40731 > 192.168.139.144.bgp: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.824626 IP 192.168.139.142.40731 > 192.168.139.144.49154: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.824682 IP 192.168.139.144.144 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.824709 IP 192.168.139.144.2001 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.824746 IP 192.168.139.144.time > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.824783 IP 192.168.139.144.shell > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.824805 IP 192.168.139.144.ftps > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.824840 IP 192.168.139.144.1755 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.824876 IP 192.168.139.144.ms-sql-s > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.824911 IP 192.168.139.144.webmin > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.824933 IP 192.168.139.144.9100 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.824955 IP 192.168.139.144.bgp > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.824977 IP 192.168.139.144.49154 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.825013 IP 192.168.139.142.40731 > 192.168.139.144.cisco-sccp: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.825036 IP 192.168.139.142.40731 > 192.168.139.144.afpovertcp: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.825072 IP 192.168.139.142.40731 > 192.168.139.144.aol: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.825152 IP 192.168.139.142.40731 > 192.168.139.144.8008: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.825183 IP 192.168.139.144.cisco-sccp > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.825214 IP 192.168.139.144.afpovertcp > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.825250 IP 192.168.139.144.aol > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.825288 IP 192.168.139.144.8008 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.825324 IP 192.168.139.142.40731 > 192.168.139.144.5000: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.825399 IP 192.168.139.142.40731 > 192.168.139.144.finger: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.825448 IP 192.168.139.142.40731 > 192.168.139.144.nrpe: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.825486 IP 192.168.139.142.40731 > 192.168.139.144.646: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.825524 IP 192.168.139.144.5000 > 192.168.139.142.40731: Flags [S.], seq 558479209, ack 2714494545, win 64240, options [mss 1460], length 0
16:44:14.825549 IP 192.168.139.144.finger > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.825585 IP 192.168.139.144.nrpe > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.825623 IP 192.168.139.144.646 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.825659 IP 192.168.139.142.40731 > 192.168.139.144.49156: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.825681 IP 192.168.139.142.40731 > 192.168.139.144.5000: Flags [R], seq 2714494545, win 0, length 0
16:44:14.825742 IP 192.168.139.142.40731 > 192.168.139.144.1027: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.825780 IP 192.168.139.142.40731 > 192.168.139.144.5800: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.825816 IP 192.168.139.142.40731 > 192.168.139.144.ldap: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.825850 IP 192.168.139.142.40731 > 192.168.139.144.3986: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.825903 IP 192.168.139.144.49156 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.825958 IP 192.168.139.142.40731 > 192.168.139.144.rsync: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.826000 IP 192.168.139.142.40731 > 192.168.139.144.49153: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.826039 IP 192.168.139.142.40731 > 192.168.139.144.26: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.826061 IP 192.168.139.142.40731 > 192.168.139.144.kshell: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.826097 IP 192.168.139.144.1027 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.826122 IP 192.168.139.144.5800 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.826176 IP 192.168.139.144.ldap > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.826214 IP 192.168.139.144.3986 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.826251 IP 192.168.139.144.rsync > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.826273 IP 192.168.139.144.49153 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.826309 IP 192.168.139.144.26 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.826345 IP 192.168.139.144.kshell > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.830183 IP 192.168.139.142.40731 > 192.168.139.144.49152: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.830247 IP 192.168.139.142.40731 > 192.168.139.144.echo: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.830289 IP 192.168.139.142.40731 > 192.168.139.144.x11: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.830328 IP 192.168.139.142.40731 > 192.168.139.144.8443: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.830368 IP 192.168.139.142.40731 > 192.168.139.144.discard: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.830410 IP 192.168.139.142.40731 > 192.168.139.144.printer: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.830452 IP 192.168.139.142.40731 > 192.168.139.144.poppassd: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.830490 IP 192.168.139.142.40731 > 192.168.139.144.5631: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.830531 IP 192.168.139.142.40731 > 192.168.139.144.5101: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.830570 IP 192.168.139.142.40731 > 192.168.139.144.daytime: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.830610 IP 192.168.139.142.40731 > 192.168.139.144.49157: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.830649 IP 192.168.139.142.40731 > 192.168.139.144.8009: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.830691 IP 192.168.139.142.40731 > 192.168.139.144.7070: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.830730 IP 192.168.139.142.40731 > 192.168.139.144.ipp: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.830771 IP 192.168.139.142.40731 > 192.168.139.144.urd: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.830809 IP 192.168.139.142.40731 > 192.168.139.144.sip: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.830855 IP 192.168.139.142.40731 > 192.168.139.144.nntp: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.830896 IP 192.168.139.142.40731 > 192.168.139.144.klogin: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.830934 IP 192.168.139.142.40731 > 192.168.139.144.2717: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.830978 IP 192.168.139.142.40731 > 192.168.139.144.9999: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.831019 IP 192.168.139.142.40731 > 192.168.139.144.1028: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.831060 IP 192.168.139.142.40731 > 192.168.139.144.49155: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.831101 IP 192.168.139.142.40731 > 192.168.139.144.3000: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.831140 IP 192.168.139.142.40731 > 192.168.139.144.kerberos: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.831180 IP 192.168.139.142.40731 > 192.168.139.144.login: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.831223 IP 192.168.139.142.40731 > 192.168.139.144.enbd-cstatd: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.831261 IP 192.168.139.142.40731 > 192.168.139.144.nfs: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.831303 IP 192.168.139.142.40731 > 192.168.139.144.81: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.831343 IP 192.168.139.142.40731 > 192.168.139.144.1026: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.831383 IP 192.168.139.142.40731 > 192.168.139.144.postgresql: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.831424 IP 192.168.139.142.40731 > 192.168.139.144.32768: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.831466 IP 192.168.139.142.40731 > 192.168.139.144.8000: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.831508 IP 192.168.139.142.40731 > 192.168.139.144.5357: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.831549 IP 192.168.139.142.40731 > 192.168.139.144.snpp: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.831590 IP 192.168.139.142.40731 > 192.168.139.144.svrloc: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.831630 IP 192.168.139.142.40731 > 192.168.139.144.tproxy: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.831671 IP 192.168.139.142.40731 > 192.168.139.144.1029: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.831712 IP 192.168.139.142.40731 > 192.168.139.144.iprop: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.831751 IP 192.168.139.142.40731 > 192.168.139.144.1110: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.831774 IP 192.168.139.142.40731 > 192.168.139.144.5009: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.831822 IP 192.168.139.144.49152 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.831877 IP 192.168.139.144.echo > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.831915 IP 192.168.139.144.x11 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.831939 IP 192.168.139.144.8443 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.831961 IP 192.168.139.144.discard > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.831999 IP 192.168.139.144.printer > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832037 IP 192.168.139.144.poppassd > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832060 IP 192.168.139.144.5631 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832149 IP 192.168.139.144.5101 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832188 IP 192.168.139.144.daytime > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832223 IP 192.168.139.144.49157 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832244 IP 192.168.139.144.8009 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832277 IP 192.168.139.144.7070 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832297 IP 192.168.139.144.ipp > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832331 IP 192.168.139.144.urd > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832365 IP 192.168.139.144.sip > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832402 IP 192.168.139.144.nntp > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832424 IP 192.168.139.144.klogin > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832458 IP 192.168.139.144.2717 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832501 IP 192.168.139.144.9999 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832541 IP 192.168.139.144.1028 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832580 IP 192.168.139.144.49155 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832603 IP 192.168.139.144.3000 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832641 IP 192.168.139.144.kerberos > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832665 IP 192.168.139.144.login > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832688 IP 192.168.139.144.enbd-cstatd > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832711 IP 192.168.139.144.nfs > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832733 IP 192.168.139.144.81 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832756 IP 192.168.139.144.1026 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832779 IP 192.168.139.144.postgresql > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832802 IP 192.168.139.144.32768 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832825 IP 192.168.139.144.8000 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832850 IP 192.168.139.144.5357 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832873 IP 192.168.139.144.snpp > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.832895 IP 192.168.139.144.svrloc > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
