16:46:54.365484 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:46:58.428201 IP 192.168.139.144.netbios-ns > 192.168.139.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
16:46:58.608923 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:46:59.367769 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:46:59.928849 IP 192.168.139.144.netbios-ns > 192.168.139.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
16:47:00.365669 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:47:01.342994 ARP, Request who-has 192.168.139.144 (Broadcast) tell 192.168.139.142, length 46
16:47:01.343423 ARP, Reply 192.168.139.144 is-at 00:0c:29:9c:ce:04 (oui Unknown), length 46
16:47:01.426673 IP 192.168.139.144.netbios-ns > 192.168.139.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
16:47:01.545375 IP 192.168.139.142.48732 > 192.168.139.2.domain: 52543+ PTR? 144.139.168.192.in-addr.arpa. (46)
16:47:01.550107 IP 192.168.139.2.domain > 192.168.139.142.48732: 52543 NXDomain 0/1/0 (114)
16:47:01.552079 IP 192.168.139.142.45297 > 192.168.139.144.microsoft-ds: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:01.554228 IP 192.168.139.144.mysql > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:01.554419 IP 192.168.139.144.rtsp > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:01.554831 IP 192.168.139.144.pop3s > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:01.554854 IP 192.168.139.144.3389 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:01.555127 IP 192.168.139.144.netbios-ssn > 192.168.139.142.45297: Flags [S.], seq 596741459, ack 1225517074, win 64240, options [mss 1460], length 0
16:47:01.555340 IP 192.168.139.144.smux > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:01.555484 IP 192.168.139.144.1025 > 192.168.139.142.45297: Flags [S.], seq 596801859, ack 1225517074, win 64240, options [mss 1460], length 0
16:47:01.555622 IP 192.168.139.142.45297 > 192.168.139.144.microsoft-ds: Flags [R], seq 1225517074, win 0, length 0
16:47:01.555761 IP 192.168.139.142.45297 > 192.168.139.144.netbios-ssn: Flags [R], seq 1225517074, win 0, length 0
16:47:01.555913 IP 192.168.139.142.45297 > 192.168.139.144.1025: Flags [R], seq 1225517074, win 0, length 0
16:47:01.557047 IP 192.168.139.144.loc-srv > 192.168.139.142.45297: Flags [S.], seq 596848018, ack 1225517074, win 64240, options [mss 1460], length 0
16:47:01.557163 IP 192.168.139.144.5900 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:01.557321 IP 192.168.139.142.45297 > 192.168.139.144.loc-srv: Flags [R], seq 1225517074, win 0, length 0
16:47:01.614864 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:47:02.364706 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:47:02.657556 IP 192.168.139.142.45297 > 192.168.139.144.imaps: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.657807 IP 192.168.139.142.45297 > 192.168.139.144.auth: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.657962 IP 192.168.139.142.45297 > 192.168.139.144.imap2: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.658122 IP 192.168.139.142.45297 > 192.168.139.144.https: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.658291 IP 192.168.139.142.45297 > 192.168.139.144.256: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.658450 IP 192.168.139.142.45297 > 192.168.139.144.ftp: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.658703 IP 192.168.139.142.45297 > 192.168.139.144.http: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.658846 IP 192.168.139.142.45297 > 192.168.139.144.ssh: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.658987 IP 192.168.139.142.45297 > 192.168.139.144.http-alt: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.659142 IP 192.168.139.142.45297 > 192.168.139.144.smtp: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.659290 IP 192.168.139.142.45297 > 192.168.139.144.1723: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.659446 IP 192.168.139.142.45297 > 192.168.139.144.pop3: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.659598 IP 192.168.139.142.45297 > 192.168.139.144.submission: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.659755 IP 192.168.139.142.45297 > 192.168.139.144.8888: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.659912 IP 192.168.139.142.45297 > 192.168.139.144.domain: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.660067 IP 192.168.139.142.45297 > 192.168.139.144.telnet: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.660231 IP 192.168.139.142.45297 > 192.168.139.144.1720: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.660382 IP 192.168.139.142.45297 > 192.168.139.144.sunrpc: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.660531 IP 192.168.139.142.45297 > 192.168.139.144.34573: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.660669 IP 192.168.139.142.45297 > 192.168.139.144.65129: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.660843 IP 192.168.139.142.45297 > 192.168.139.144.51493: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.660994 IP 192.168.139.142.45297 > 192.168.139.144.7921: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.661144 IP 192.168.139.142.45297 > 192.168.139.144.11110: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.661294 IP 192.168.139.142.45297 > 192.168.139.144.postgresql: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.661442 IP 192.168.139.142.45297 > 192.168.139.144.x11-1: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.661594 IP 192.168.139.142.45297 > 192.168.139.144.10024: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.661792 IP 192.168.139.142.45297 > 192.168.139.144.3971: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.661950 IP 192.168.139.142.45297 > 192.168.139.144.1218: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.662104 IP 192.168.139.142.45297 > 192.168.139.144.1067: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.662259 IP 192.168.139.142.45297 > 192.168.139.144.2007: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.662417 IP 192.168.139.142.45297 > 192.168.139.144.afs3-bos: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.662566 IP 192.168.139.142.45297 > 192.168.139.144.2144: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.662732 IP 192.168.139.142.45297 > 192.168.139.144.1974: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.662881 IP 192.168.139.142.45297 > 192.168.139.144.5566: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.663032 IP 192.168.139.142.45297 > 192.168.139.144.1078: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.663185 IP 192.168.139.142.45297 > 192.168.139.144.5001: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.663338 IP 192.168.139.142.45297 > 192.168.139.144.5850: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.663490 IP 192.168.139.142.45297 > 192.168.139.144.10215: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.663645 IP 192.168.139.142.45297 > 192.168.139.144.6788: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.663791 IP 192.168.139.142.45297 > 192.168.139.144.8022: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.663947 IP 192.168.139.142.45297 > 192.168.139.144.1112: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.664104 IP 192.168.139.142.45297 > 192.168.139.144.5877: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.664256 IP 192.168.139.142.45297 > 192.168.139.144.3995: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.664410 IP 192.168.139.142.45297 > 192.168.139.144.9010: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.664557 IP 192.168.139.142.45297 > 192.168.139.144.8649: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.664849 IP 192.168.139.142.45297 > 192.168.139.144.1277: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.664936 IP 192.168.139.142.45297 > 192.168.139.144.40193: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.665066 IP 192.168.139.144.imaps > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.665172 IP 192.168.139.144.auth > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.665230 IP 192.168.139.144.imap2 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.665321 IP 192.168.139.144.https > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.665379 IP 192.168.139.144.256 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.665433 IP 192.168.139.144.ftp > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.665524 IP 192.168.139.144.http > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.665580 IP 192.168.139.144.ssh > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.665673 IP 192.168.139.144.http-alt > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.665729 IP 192.168.139.144.smtp > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.665820 IP 192.168.139.144.1723 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.665876 IP 192.168.139.144.pop3 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.666064 IP 192.168.139.144.submission > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.666131 IP 192.168.139.144.8888 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.666186 IP 192.168.139.144.domain > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.666249 IP 192.168.139.144.telnet > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.666311 IP 192.168.139.144.1720 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.666365 IP 192.168.139.144.sunrpc > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.666419 IP 192.168.139.144.34573 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.666473 IP 192.168.139.144.65129 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.666527 IP 192.168.139.144.51493 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.666580 IP 192.168.139.144.7921 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.666635 IP 192.168.139.144.11110 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.666689 IP 192.168.139.144.postgresql > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.666743 IP 192.168.139.144.x11-1 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.666797 IP 192.168.139.144.10024 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.666851 IP 192.168.139.144.3971 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.666904 IP 192.168.139.144.1218 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.666958 IP 192.168.139.144.1067 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.667011 IP 192.168.139.144.2007 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.667069 IP 192.168.139.144.afs3-bos > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.667123 IP 192.168.139.144.2144 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.667183 IP 192.168.139.144.1974 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.667236 IP 192.168.139.144.5566 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.667290 IP 192.168.139.144.1078 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.667343 IP 192.168.139.144.5001 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.667397 IP 192.168.139.144.5850 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.667450 IP 192.168.139.144.10215 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.667503 IP 192.168.139.144.6788 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.667556 IP 192.168.139.144.8022 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.667609 IP 192.168.139.144.1112 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.667663 IP 192.168.139.144.5877 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.667716 IP 192.168.139.144.3995 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.667769 IP 192.168.139.144.9010 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.667822 IP 192.168.139.144.8649 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.667876 IP 192.168.139.144.1277 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.667929 IP 192.168.139.144.40193 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.668038 IP 192.168.139.142.45297 > 192.168.139.144.1009: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.668379 IP 192.168.139.142.45297 > 192.168.139.144.socks: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.668466 IP 192.168.139.142.45297 > 192.168.139.144.7778: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.668626 IP 192.168.139.144.1009 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.668857 IP 192.168.139.144.socks > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.668999 IP 192.168.139.144.7778 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.672879 IP 192.168.139.142.45297 > 192.168.139.144.3476: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.673199 IP 192.168.139.142.45297 > 192.168.139.144.10003: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.673347 IP 192.168.139.142.45297 > 192.168.139.144.iprop: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.673476 IP 192.168.139.142.45297 > 192.168.139.144.1494: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.673614 IP 192.168.139.142.45297 > 192.168.139.144.9999: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.673692 IP 192.168.139.142.45297 > 192.168.139.144.3546: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.673820 IP 192.168.139.142.45297 > 192.168.139.144.1041: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.674001 IP 192.168.139.142.45297 > 192.168.139.144.24800: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.674119 IP 192.168.139.142.45297 > 192.168.139.144.5100: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.674176 IP 192.168.139.142.45297 > 192.168.139.144.1072: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.674281 IP 192.168.139.142.45297 > 192.168.139.144.1131: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.674379 IP 192.168.139.142.45297 > 192.168.139.144.10243: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.674479 IP 192.168.139.144.3476 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.674546 IP 192.168.139.144.10003 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.674603 IP 192.168.139.144.iprop > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.674830 IP 192.168.139.144.1494 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.674895 IP 192.168.139.144.9999 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.674992 IP 192.168.139.144.3546 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.675047 IP 192.168.139.144.1041 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.675138 IP 192.168.139.144.24800 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.675193 IP 192.168.139.144.5100 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.675282 IP 192.168.139.144.1072 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.675382 IP 192.168.139.142.45297 > 192.168.139.144.1216: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.675448 IP 192.168.139.142.45297 > 192.168.139.144.616: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.675534 IP 192.168.139.144.1131 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.675680 IP 192.168.139.142.45297 > 192.168.139.144.1900: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.675768 IP 192.168.139.144.10243 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.675865 IP 192.168.139.142.45297 > 192.168.139.144.4126: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.675959 IP 192.168.139.144.1216 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.676133 IP 192.168.139.142.45297 > 192.168.139.144.3871: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.676442 IP 192.168.139.144.616 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.676594 IP 192.168.139.144.1900 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.676765 IP 192.168.139.144.4126 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.676907 IP 192.168.139.142.45297 > 192.168.139.144.14442: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.676968 IP 192.168.139.142.45297 > 192.168.139.144.7512: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.677061 IP 192.168.139.142.45297 > 192.168.139.144.16001: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.677116 IP 192.168.139.142.45297 > 192.168.139.144.rootd: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.677207 IP 192.168.139.142.45297 > 192.168.139.144.1023: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.677262 IP 192.168.139.142.45297 > 192.168.139.144.10010: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.677358 IP 192.168.139.142.45297 > 192.168.139.144.666: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.677447 IP 192.168.139.144.3871 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.677511 IP 192.168.139.144.14442 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.677788 IP 192.168.139.142.45297 > 192.168.139.144.9877: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.677961 IP 192.168.139.144.7512 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.678057 IP 192.168.139.144.16001 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.678155 IP 192.168.139.142.45297 > 192.168.139.144.5950: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.678224 IP 192.168.139.142.45297 > 192.168.139.144.1755: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.678310 IP 192.168.139.144.rootd > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.678372 IP 192.168.139.144.1023 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.678461 IP 192.168.139.142.45297 > 192.168.139.144.10626: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.678558 IP 192.168.139.144.10010 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.678654 IP 192.168.139.142.45297 > 192.168.139.144.9003: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.678746 IP 192.168.139.144.666 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.678840 IP 192.168.139.142.45297 > 192.168.139.144.2004: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.679094 IP 192.168.139.142.45297 > 192.168.139.144.3869: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.679170 IP 192.168.139.142.45297 > 192.168.139.144.1049: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.679381 IP 192.168.139.144.9877 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.679444 IP 192.168.139.144.5950 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.679540 IP 192.168.139.142.45297 > 192.168.139.144.1043: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.679605 IP 192.168.139.142.45297 > 192.168.139.144.1594: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.679667 IP 192.168.139.142.45297 > 192.168.139.144.tacacs: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.679753 IP 192.168.139.144.1755 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.679815 IP 192.168.139.144.10626 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.679910 IP 192.168.139.142.45297 > 192.168.139.144.1165: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.679974 IP 192.168.139.142.45297 > 192.168.139.144.3580: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.680058 IP 192.168.139.144.9003 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
