16:42:33.364744 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:34.584768 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:35.367527 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:36.364221 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:37.700042 ARP, Request who-has 192.168.139.144 (Broadcast) tell 192.168.139.142, length 46
16:42:37.700468 ARP, Reply 192.168.139.144 is-at 00:0c:29:9c:ce:04 (oui Unknown), length 46
16:42:37.901792 IP 192.168.139.142.56367 > 192.168.139.2.domain: 51859+ PTR? 144.139.168.192.in-addr.arpa. (46)
16:42:37.913834 IP 192.168.139.2.domain > 192.168.139.142.56367: 51859 NXDomain 0/1/0 (114)
16:42:37.915952 IP 192.168.139.142.56447 > 192.168.139.144.imap2: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.022876 IP 192.168.139.144.ftp > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.022974 IP 192.168.139.144.imaps > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.023052 IP 192.168.139.144.http > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.023177 IP 192.168.139.144.submission > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.023253 IP 192.168.139.144.smtp > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.023388 IP 192.168.139.144.1025 > 192.168.139.142.56447: Flags [S.], seq 535962033, ack 552129162, win 64240, options [mss 1460], length 0
16:42:39.023516 IP 192.168.139.144.netbios-ssn > 192.168.139.142.56447: Flags [S.], seq 536023411, ack 552129162, win 64240, options [mss 1460], length 0
16:42:39.023671 IP 192.168.139.142.56447 > 192.168.139.144.auth: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.023806 IP 192.168.139.142.56447 > 192.168.139.144.mysql: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.023888 IP 192.168.139.142.56447 > 192.168.139.144.pop3s: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.023965 IP 192.168.139.142.56447 > 192.168.139.144.rtsp: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.024041 IP 192.168.139.142.56447 > 192.168.139.144.1720: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.024117 IP 192.168.139.142.56447 > 192.168.139.144.domain: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.024202 IP 192.168.139.142.56447 > 192.168.139.144.x11-7: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.024277 IP 192.168.139.142.56447 > 192.168.139.144.nntp: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.024352 IP 192.168.139.142.56447 > 192.168.139.144.microsoft-ds: Flags [R], seq 552129162, win 0, length 0
16:42:39.024427 IP 192.168.139.142.56447 > 192.168.139.144.49400: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.024503 IP 192.168.139.142.56447 > 192.168.139.144.700: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.024578 IP 192.168.139.142.56447 > 192.168.139.144.50003: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.024654 IP 192.168.139.142.56447 > 192.168.139.144.6100: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.024731 IP 192.168.139.142.56447 > 192.168.139.144.1025: Flags [R], seq 552129162, win 0, length 0
16:42:39.024806 IP 192.168.139.142.56447 > 192.168.139.144.netbios-ssn: Flags [R], seq 552129162, win 0, length 0
16:42:39.025056 IP 192.168.139.144.auth > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.025201 IP 192.168.139.144.mysql > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.025336 IP 192.168.139.144.pop3s > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.025414 IP 192.168.139.144.rtsp > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.025542 IP 192.168.139.144.1720 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.025673 IP 192.168.139.144.domain > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.025800 IP 192.168.139.144.x11-7 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.025930 IP 192.168.139.144.nntp > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.026173 IP 192.168.139.142.56447 > 192.168.139.144.1900: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.026416 IP 192.168.139.142.56447 > 192.168.139.144.1056: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.026602 IP 192.168.139.142.56447 > 192.168.139.144.2875: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.026738 IP 192.168.139.142.56447 > 192.168.139.144.5080: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.026964 IP 192.168.139.142.56447 > 192.168.139.144.9900: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.027100 IP 192.168.139.142.56447 > 192.168.139.144.3005: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.027180 IP 192.168.139.142.56447 > 192.168.139.144.20828: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.027256 IP 192.168.139.142.56447 > 192.168.139.144.26214: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.027332 IP 192.168.139.142.56447 > 192.168.139.144.telnets: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.027454 IP 192.168.139.144.49400 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.027549 IP 192.168.139.144.700 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.027625 IP 192.168.139.144.50003 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.027700 IP 192.168.139.144.6100 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.027831 IP 192.168.139.144.1900 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.027959 IP 192.168.139.144.1056 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.028182 IP 192.168.139.144.2875 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.028373 IP 192.168.139.144.5080 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.028506 IP 192.168.139.144.9900 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.028633 IP 192.168.139.144.3005 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.028764 IP 192.168.139.144.20828 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.028959 IP 192.168.139.144.26214 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.029098 IP 192.168.139.144.telnets > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.118913 IP 192.168.139.142.56447 > 192.168.139.144.ldap: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.119174 IP 192.168.139.142.56447 > 192.168.139.144.1556: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.119264 IP 192.168.139.142.56447 > 192.168.139.144.5101: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.119490 IP 192.168.139.144.ldap > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.119635 IP 192.168.139.142.56447 > 192.168.139.144.kerberos-adm: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.119742 IP 192.168.139.142.56447 > 192.168.139.144.3517: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.119833 IP 192.168.139.142.56447 > 192.168.139.144.8002: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.119971 IP 192.168.139.144.1556 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.120123 IP 192.168.139.144.5101 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.120343 IP 192.168.139.142.56447 > 192.168.139.144.1047: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.120449 IP 192.168.139.142.56447 > 192.168.139.144.65000: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.120536 IP 192.168.139.142.56447 > 192.168.139.144.56738: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.120687 IP 192.168.139.142.56447 > 192.168.139.144.50000: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.120848 IP 192.168.139.142.56447 > 192.168.139.144.5904: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.120937 IP 192.168.139.142.56447 > 192.168.139.144.58080: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.121151 IP 192.168.139.144.kerberos-adm > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.121310 IP 192.168.139.144.3517 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.121463 IP 192.168.139.144.8002 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.121605 IP 192.168.139.144.1047 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.121778 IP 192.168.139.144.65000 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.121923 IP 192.168.139.144.56738 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.122010 IP 192.168.139.144.50000 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.122090 IP 192.168.139.144.5904 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.122318 IP 192.168.139.144.58080 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.122451 IP 192.168.139.142.56447 > 192.168.139.144.51103: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.122532 IP 192.168.139.142.56447 > 192.168.139.144.3: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.122613 IP 192.168.139.142.56447 > 192.168.139.144.4662: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.122690 IP 192.168.139.142.56447 > 192.168.139.144.2038: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.123177 IP 192.168.139.142.56447 > 192.168.139.144.x11: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.123325 IP 192.168.139.142.56447 > 192.168.139.144.4321: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.123406 IP 192.168.139.142.56447 > 192.168.139.144.9207: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.123546 IP 192.168.139.142.56447 > 192.168.139.144.1163: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.123628 IP 192.168.139.142.56447 > 192.168.139.144.34573: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.123757 IP 192.168.139.142.56447 > 192.168.139.144.8192: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.123894 IP 192.168.139.142.56447 > 192.168.139.144.1061: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.123974 IP 192.168.139.142.56447 > 192.168.139.144.9917: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.124053 IP 192.168.139.142.56447 > 192.168.139.144.3809: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.124130 IP 192.168.139.142.56447 > 192.168.139.144.5903: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.124266 IP 192.168.139.144.51103 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.124351 IP 192.168.139.144.3 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.124482 IP 192.168.139.144.4662 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.124563 IP 192.168.139.144.2038 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.124691 IP 192.168.139.144.x11 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.124820 IP 192.168.139.144.4321 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.124953 IP 192.168.139.144.9207 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.125084 IP 192.168.139.144.1163 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.125164 IP 192.168.139.144.34573 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.125291 IP 192.168.139.144.8192 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.125370 IP 192.168.139.144.1061 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.125498 IP 192.168.139.144.9917 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.125630 IP 192.168.139.144.3809 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.125859 IP 192.168.139.144.5903 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.222204 IP 192.168.139.142.56448 > 192.168.139.144.2038: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.222477 IP 192.168.139.142.56448 > 192.168.139.144.4662: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.222633 IP 192.168.139.142.56448 > 192.168.139.144.3: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.222798 IP 192.168.139.142.56448 > 192.168.139.144.51103: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.222942 IP 192.168.139.142.56448 > 192.168.139.144.58080: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.223089 IP 192.168.139.142.56448 > 192.168.139.144.5904: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.223247 IP 192.168.139.142.56448 > 192.168.139.144.50000: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.223405 IP 192.168.139.142.56448 > 192.168.139.144.56738: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.223557 IP 192.168.139.142.56448 > 192.168.139.144.65000: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.223713 IP 192.168.139.142.56448 > 192.168.139.144.1047: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.223868 IP 192.168.139.142.56448 > 192.168.139.144.8002: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.224021 IP 192.168.139.142.56448 > 192.168.139.144.3517: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.224175 IP 192.168.139.142.56448 > 192.168.139.144.kerberos-adm: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.224381 IP 192.168.139.142.56448 > 192.168.139.144.5101: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.224532 IP 192.168.139.142.56448 > 192.168.139.144.1556: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.224613 IP 192.168.139.142.56448 > 192.168.139.144.ldap: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.224733 IP 192.168.139.144.2038 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.224861 IP 192.168.139.144.4662 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.225077 IP 192.168.139.144.3 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.225256 IP 192.168.139.144.51103 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.225399 IP 192.168.139.144.58080 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.225540 IP 192.168.139.144.5904 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.225629 IP 192.168.139.144.50000 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.225707 IP 192.168.139.144.56738 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.225787 IP 192.168.139.144.65000 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.225869 IP 192.168.139.144.1047 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.225946 IP 192.168.139.144.8002 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.226023 IP 192.168.139.144.3517 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.226101 IP 192.168.139.144.kerberos-adm > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.226183 IP 192.168.139.144.5101 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.226305 IP 192.168.139.144.1556 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.226395 IP 192.168.139.144.ldap > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.226932 IP 192.168.139.142.56448 > 192.168.139.144.5903: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.227196 IP 192.168.139.142.56448 > 192.168.139.144.3809: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.227359 IP 192.168.139.142.56448 > 192.168.139.144.9917: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.227516 IP 192.168.139.142.56448 > 192.168.139.144.1061: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.227713 IP 192.168.139.142.56448 > 192.168.139.144.8192: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.227867 IP 192.168.139.142.56448 > 192.168.139.144.34573: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.228018 IP 192.168.139.142.56448 > 192.168.139.144.1163: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.228160 IP 192.168.139.142.56448 > 192.168.139.144.9207: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.228308 IP 192.168.139.142.56448 > 192.168.139.144.4321: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.228396 IP 192.168.139.142.56448 > 192.168.139.144.x11: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.228505 IP 192.168.139.144.5903 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.228630 IP 192.168.139.144.3809 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.228771 IP 192.168.139.144.9917 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.228914 IP 192.168.139.144.1061 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.229004 IP 192.168.139.144.8192 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.229242 IP 192.168.139.144.34573 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.229335 IP 192.168.139.144.1163 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.229420 IP 192.168.139.144.9207 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
