17:10:43.462824 IP 192.168.5.130.netbios-dgm > 192.168.5.255.netbios-dgm: NBT UDP PACKET(138)
17:10:44.838467 ARP, Request who-has 192.168.5.2 tell 192.168.5.130, length 46
17:10:44.838863 ARP, Reply 192.168.5.2 is-at 00:50:56:ff:2b:f4 (oui Unknown), length 46
17:10:44.839353 IP 192.168.5.130.netbios-ns > 192.168.5.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
17:10:46.336473 IP 192.168.5.130.netbios-ns > 192.168.5.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
17:10:47.836071 IP 192.168.5.130.netbios-ns > 192.168.5.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
17:10:53.131310 ARP, Request who-has 192.168.5.130 (Broadcast) tell 192.168.5.129, length 46
17:10:53.131804 ARP, Reply 192.168.5.130 is-at 00:0c:29:36:59:9f (oui Unknown), length 46
17:10:53.333423 IP 192.168.5.129.55261 > 192.168.5.2.domain: 14820+ PTR? 130.5.168.192.in-addr.arpa. (44)
17:10:53.336737 IP 192.168.5.2.domain > 192.168.5.129.55261: 14820 NXDomain 0/0/0 (44)
17:10:53.338470 IP 192.168.5.129.55736 > 192.168.5.130.http-alt: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.444773 IP 192.168.5.129.55736 > 192.168.5.130.1720: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.444935 IP 192.168.5.129.55736 > 192.168.5.130.1025: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.444979 IP 192.168.5.129.55736 > 192.168.5.130.submission: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445042 IP 192.168.5.129.55736 > 192.168.5.130.mysql: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445088 IP 192.168.5.129.55736 > 192.168.5.130.2717: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445129 IP 192.168.5.129.55736 > 192.168.5.130.snpp: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445201 IP 192.168.5.129.55736 > 192.168.5.130.1028: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445248 IP 192.168.5.129.55736 > 192.168.5.130.rsync: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445362 IP 192.168.5.129.55736 > 192.168.5.130.5009: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445408 IP 192.168.5.129.55736 > 192.168.5.130.32768: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445453 IP 192.168.5.129.55736 > 192.168.5.130.5000: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445496 IP 192.168.5.129.55736 > 192.168.5.130.5357: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445542 IP 192.168.5.129.55736 > 192.168.5.130.9999: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445589 IP 192.168.5.129.55736 > 192.168.5.130.49154: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445628 IP 192.168.5.129.55736 > 192.168.5.130.kshell: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445672 IP 192.168.5.129.55736 > 192.168.5.130.81: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445711 IP 192.168.5.129.55736 > 192.168.5.130.8000: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445737 IP 192.168.5.129.55736 > 192.168.5.130.ftps: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445759 IP 192.168.5.129.55736 > 192.168.5.130.26: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445812 IP 192.168.5.129.55736 > 192.168.5.130.1027: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445835 IP 192.168.5.129.55736 > 192.168.5.130.x11: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445859 IP 192.168.5.129.55736 > 192.168.5.130.cisco-sccp: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445879 IP 192.168.5.129.55736 > 192.168.5.130.bgp: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445904 IP 192.168.5.129.55736 > 192.168.5.130.49157: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445922 IP 192.168.5.129.55736 > 192.168.5.130.afpovertcp: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445962 IP 192.168.5.129.55736 > 192.168.5.130.1900: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.445983 IP 192.168.5.129.55736 > 192.168.5.130.1110: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.446003 IP 192.168.5.129.55736 > 192.168.5.130.radmin-port: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.446027 IP 192.168.5.129.55736 > 192.168.5.130.ldap: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.446050 IP 192.168.5.129.55736 > 192.168.5.130.49153: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.446074 IP 192.168.5.129.55736 > 192.168.5.130.webmin: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.446095 IP 192.168.5.129.55736 > 192.168.5.130.3986: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.446125 IP 192.168.5.129.55736 > 192.168.5.130.iprop: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.446147 IP 192.168.5.129.55736 > 192.168.5.130.enbd-cstatd: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.446168 IP 192.168.5.129.55736 > 192.168.5.130.49156: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.446205 IP 192.168.5.129.55736 > 192.168.5.130.echo: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.446226 IP 192.168.5.129.55736 > 192.168.5.130.login: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.446271 IP 192.168.5.130.smtp > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446293 IP 192.168.5.130.rtsp > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446313 IP 192.168.5.130.5900 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446333 IP 192.168.5.130.imap2 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446355 IP 192.168.5.130.netbios-ssn > 192.168.5.129.55736: Flags [S.], seq 2829215486, ack 628363850, win 17520, options [mss 1460], length 0
17:10:54.446377 IP 192.168.5.130.loc-srv > 192.168.5.129.55736: Flags [S.], seq 2829265773, ack 628363850, win 17520, options [mss 1460], length 0
17:10:54.446404 IP 192.168.5.130.http > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446425 IP 192.168.5.130.microsoft-ds > 192.168.5.129.55736: Flags [S.], seq 2829326452, ack 628363850, win 17520, options [mss 1460], length 0
17:10:54.446445 IP 192.168.5.130.domain > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446467 IP 192.168.5.130.auth > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446485 IP 192.168.5.130.sunrpc > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446505 IP 192.168.5.130.1723 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446526 IP 192.168.5.130.pop3s > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446547 IP 192.168.5.130.1720 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446566 IP 192.168.5.130.1025 > 192.168.5.129.55736: Flags [S.], seq 2829361312, ack 628363850, win 17520, options [mss 1460], length 0
17:10:54.446587 IP 192.168.5.130.submission > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446591 IP 192.168.5.130.mysql > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446592 IP 192.168.5.130.2717 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446593 IP 192.168.5.130.snpp > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446593 IP 192.168.5.130.1028 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446594 IP 192.168.5.130.rsync > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446595 IP 192.168.5.130.5009 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446596 IP 192.168.5.130.32768 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446597 IP 192.168.5.130.5000 > 192.168.5.129.55736: Flags [S.], seq 2829413778, ack 628363850, win 17520, options [mss 1460], length 0
17:10:54.446598 IP 192.168.5.130.5357 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446598 IP 192.168.5.130.9999 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446599 IP 192.168.5.130.49154 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446600 IP 192.168.5.130.kshell > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446601 IP 192.168.5.130.81 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446602 IP 192.168.5.130.8000 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446625 IP 192.168.5.130.ftps > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446627 IP 192.168.5.130.26 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446630 IP 192.168.5.130.1027 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446631 IP 192.168.5.130.x11 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446632 IP 192.168.5.130.cisco-sccp > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446632 IP 192.168.5.130.bgp > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446653 IP 192.168.5.130.49157 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446656 IP 192.168.5.130.afpovertcp > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446657 IP 192.168.5.130.1900 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446658 IP 192.168.5.130.1110 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446659 IP 192.168.5.130.radmin-port > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446660 IP 192.168.5.130.ldap > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446681 IP 192.168.5.130.49153 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446683 IP 192.168.5.130.webmin > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446684 IP 192.168.5.130.3986 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446685 IP 192.168.5.130.iprop > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446699 IP 192.168.5.129.55736 > 192.168.5.130.netbios-ssn: Flags [R], seq 628363850, win 0, length 0
17:10:54.446724 IP 192.168.5.129.55736 > 192.168.5.130.loc-srv: Flags [R], seq 628363850, win 0, length 0
17:10:54.446762 IP 192.168.5.130.enbd-cstatd > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446782 IP 192.168.5.130.49156 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446817 IP 192.168.5.129.55736 > 192.168.5.130.microsoft-ds: Flags [R], seq 628363850, win 0, length 0
17:10:54.446848 IP 192.168.5.130.echo > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446870 IP 192.168.5.130.login > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.446909 IP 192.168.5.129.55736 > 192.168.5.130.1025: Flags [R], seq 628363850, win 0, length 0
17:10:54.447511 IP 192.168.5.129.55736 > 192.168.5.130.5000: Flags [R], seq 628363850, win 0, length 0
17:10:54.448484 IP 192.168.5.129.55736 > 192.168.5.130.time: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.448538 IP 192.168.5.129.55736 > 192.168.5.130.klogin: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.448565 IP 192.168.5.129.55736 > 192.168.5.130.9100: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.448617 IP 192.168.5.129.55736 > 192.168.5.130.finger: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.448690 IP 192.168.5.129.55736 > 192.168.5.130.3000: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.448715 IP 192.168.5.129.55736 > 192.168.5.130.49155: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.448736 IP 192.168.5.129.55736 > 192.168.5.130.6646: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.448757 IP 192.168.5.129.55736 > 192.168.5.130.8443: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.448836 IP 192.168.5.130.time > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.448864 IP 192.168.5.130.klogin > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.448895 IP 192.168.5.129.55736 > 192.168.5.130.646: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.448918 IP 192.168.5.129.55736 > 192.168.5.130.1755: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.448942 IP 192.168.5.129.55736 > 192.168.5.130.ipp: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.448962 IP 192.168.5.129.55736 > 192.168.5.130.postgresql: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.448984 IP 192.168.5.129.55736 > 192.168.5.130.nntp: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449018 IP 192.168.5.130.9100 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.449075 IP 192.168.5.129.55736 > 192.168.5.130.printer: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449105 IP 192.168.5.129.55736 > 192.168.5.130.ms-sql-s: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449149 IP 192.168.5.129.55736 > 192.168.5.130.sip: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449173 IP 192.168.5.129.55736 > 192.168.5.130.shell: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449212 IP 192.168.5.129.55736 > 192.168.5.130.urd: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449239 IP 192.168.5.129.55736 > 192.168.5.130.tproxy: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449260 IP 192.168.5.129.55736 > 192.168.5.130.x11-1: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449282 IP 192.168.5.129.55736 > 192.168.5.130.poppassd: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449319 IP 192.168.5.130.finger > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.449343 IP 192.168.5.130.3000 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.449378 IP 192.168.5.129.55736 > 192.168.5.130.daytime: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449401 IP 192.168.5.129.55736 > 192.168.5.130.aol: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449424 IP 192.168.5.129.55736 > 192.168.5.130.discard: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449446 IP 192.168.5.129.55736 > 192.168.5.130.8008: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449485 IP 192.168.5.130.49155 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.449517 IP 192.168.5.129.55736 > 192.168.5.130.5800: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449540 IP 192.168.5.129.55736 > 192.168.5.130.7070: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449573 IP 192.168.5.130.6646 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.449608 IP 192.168.5.129.55736 > 192.168.5.130.1026: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449631 IP 192.168.5.129.55736 > 192.168.5.130.nrpe: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449652 IP 192.168.5.129.55736 > 192.168.5.130.kerberos: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449673 IP 192.168.5.129.55736 > 192.168.5.130.1029: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449705 IP 192.168.5.130.8443 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.449744 IP 192.168.5.129.55736 > 192.168.5.130.5101: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449767 IP 192.168.5.129.55736 > 192.168.5.130.49152: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449801 IP 192.168.5.130.646 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.449835 IP 192.168.5.129.55736 > 192.168.5.130.8009: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449879 IP 192.168.5.129.55736 > 192.168.5.130.svrloc: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449901 IP 192.168.5.129.55736 > 192.168.5.130.2001: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449921 IP 192.168.5.129.55736 > 192.168.5.130.nfs: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449944 IP 192.168.5.129.55736 > 192.168.5.130.3128: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.449981 IP 192.168.5.130.1755 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.450003 IP 192.168.5.130.ipp > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.450037 IP 192.168.5.129.55736 > 192.168.5.130.144: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.450058 IP 192.168.5.129.55736 > 192.168.5.130.5631: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.450093 IP 192.168.5.130.postgresql > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.450183 IP 192.168.5.130.nntp > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.450218 IP 192.168.5.130.printer > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.450241 IP 192.168.5.130.ms-sql-s > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.450332 IP 192.168.5.130.sip > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.450435 IP 192.168.5.130.shell > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.450480 IP 192.168.5.130.urd > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.450508 IP 192.168.5.130.tproxy > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.450531 IP 192.168.5.130.x11-1 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.450569 IP 192.168.5.130.poppassd > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.450606 IP 192.168.5.130.daytime > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.450629 IP 192.168.5.130.aol > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.450674 IP 192.168.5.130.discard > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.450716 IP 192.168.5.130.8008 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.450754 IP 192.168.5.130.5800 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.450818 IP 192.168.5.130.7070 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.450846 IP 192.168.5.130.1026 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.450868 IP 192.168.5.130.nrpe > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
