17:11:35.898180 ARP, Request who-has 192.168.5.130 (Broadcast) tell 192.168.5.129, length 46
17:11:35.898660 ARP, Reply 192.168.5.130 is-at 00:0c:29:36:59:9f (oui Unknown), length 46
17:11:36.100578 IP 192.168.5.129.43804 > 192.168.5.2.domain: 56286+ PTR? 130.5.168.192.in-addr.arpa. (44)
17:11:36.103965 IP 192.168.5.2.domain > 192.168.5.129.43804: 56286 NXDomain 0/0/0 (44)
17:11:36.105885 IP 192.168.5.129.58717 > 192.168.5.130.1723: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:36.108363 IP 192.168.5.130.pop3s > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:36.108440 IP 192.168.5.130.smtp > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:36.108571 IP 192.168.5.130.http > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:36.108650 IP 192.168.5.130.1720 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:36.109603 IP 192.168.5.129.58717 > 192.168.5.130.1025: Flags [R], seq 3836655586, win 0, length 0
17:11:37.214314 IP 192.168.5.129.58718 > 192.168.5.130.mysql: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:37.214525 IP 192.168.5.129.58718 > 192.168.5.130.1025: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:37.214675 IP 192.168.5.129.58718 > 192.168.5.130.rtsp: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:37.214793 IP 192.168.5.129.58718 > 192.168.5.130.http-alt: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:37.214887 IP 192.168.5.129.58718 > 192.168.5.130.1720: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:37.215011 IP 192.168.5.129.58718 > 192.168.5.130.http: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:37.215161 IP 192.168.5.130.mysql > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:37.215246 IP 192.168.5.130.1025 > 192.168.5.129.58718: Flags [S.], seq 2839280469, ack 3836721121, win 17520, options [mss 1460], length 0
17:11:37.215361 IP 192.168.5.129.58718 > 192.168.5.130.smtp: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:37.215450 IP 192.168.5.130.rtsp > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:37.215753 IP 192.168.5.130.http-alt > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:37.215891 IP 192.168.5.130.1720 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:37.215997 IP 192.168.5.130.http > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:37.216097 IP 192.168.5.130.smtp > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:37.216246 IP 192.168.5.129.58718 > 192.168.5.130.1025: Flags [R], seq 3836721121, win 0, length 0
17:11:37.216347 IP 192.168.5.129.58718 > 192.168.5.130.pop3s: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:37.216376 IP 192.168.5.129.58718 > 192.168.5.130.imap2: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:37.216462 IP 192.168.5.129.58717 > 192.168.5.130.5900: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.216511 IP 192.168.5.130.pop3s > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:37.216575 IP 192.168.5.129.58717 > 192.168.5.130.loc-srv: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.216609 IP 192.168.5.129.58717 > 192.168.5.130.smux: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.216641 IP 192.168.5.129.58717 > 192.168.5.130.3389: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.216679 IP 192.168.5.130.imap2 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:37.216708 IP 192.168.5.130.5900 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.216731 IP 192.168.5.130.loc-srv > 192.168.5.129.58717: Flags [S.], seq 2839316559, ack 3836655586, win 17520, options [mss 1460], length 0
17:11:37.216764 IP 192.168.5.130.smux > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.216804 IP 192.168.5.129.58717 > 192.168.5.130.8888: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.216827 IP 192.168.5.129.58717 > 192.168.5.130.loc-srv: Flags [R], seq 3836655586, win 0, length 0
17:11:37.216854 IP 192.168.5.130.3389 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.216891 IP 192.168.5.129.58717 > 192.168.5.130.pop3: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.216924 IP 192.168.5.130.8888 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.217025 IP 192.168.5.129.58717 > 192.168.5.130.domain: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.217092 IP 192.168.5.129.58717 > 192.168.5.130.imaps: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.217117 IP 192.168.5.129.58717 > 192.168.5.130.microsoft-ds: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.217149 IP 192.168.5.130.pop3 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.217178 IP 192.168.5.130.domain > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.217207 IP 192.168.5.129.58717 > 192.168.5.130.sunrpc: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.217242 IP 192.168.5.130.imaps > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.217274 IP 192.168.5.129.58717 > 192.168.5.130.https: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.217343 IP 192.168.5.130.microsoft-ds > 192.168.5.129.58717: Flags [S.], seq 2839362233, ack 3836655586, win 17520, options [mss 1460], length 0
17:11:37.217386 IP 192.168.5.129.58717 > 192.168.5.130.auth: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.217411 IP 192.168.5.130.sunrpc > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.217463 IP 192.168.5.130.https > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.217490 IP 192.168.5.130.auth > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.217520 IP 192.168.5.129.58717 > 192.168.5.130.microsoft-ds: Flags [R], seq 3836655586, win 0, length 0
17:11:37.221881 IP 192.168.5.129.58717 > 192.168.5.130.netbios-ssn: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.221973 IP 192.168.5.129.58717 > 192.168.5.130.submission: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.222026 IP 192.168.5.129.58717 > 192.168.5.130.256: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.222116 IP 192.168.5.129.58717 > 192.168.5.130.ssh: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.222175 IP 192.168.5.129.58717 > 192.168.5.130.telnet: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.222225 IP 192.168.5.129.58717 > 192.168.5.130.ftp: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.222308 IP 192.168.5.130.netbios-ssn > 192.168.5.129.58717: Flags [S.], seq 2839419316, ack 3836655586, win 17520, options [mss 1460], length 0
17:11:37.222359 IP 192.168.5.130.submission > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.222414 IP 192.168.5.130.256 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.222502 IP 192.168.5.130.ssh > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.222543 IP 192.168.5.130.telnet > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.222589 IP 192.168.5.129.58717 > 192.168.5.130.9003: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.222615 IP 192.168.5.129.58717 > 192.168.5.130.netbios-ssn: Flags [R], seq 3836655586, win 0, length 0
17:11:37.222639 IP 192.168.5.129.58717 > 192.168.5.130.1840: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.222679 IP 192.168.5.130.ftp > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.222715 IP 192.168.5.129.58717 > 192.168.5.130.2968: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.222752 IP 192.168.5.130.9003 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.222802 IP 192.168.5.130.1840 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.222852 IP 192.168.5.129.58717 > 192.168.5.130.1154: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.222936 IP 192.168.5.130.2968 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.222971 IP 192.168.5.129.58717 > 192.168.5.130.rfe: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.223003 IP 192.168.5.129.58717 > 192.168.5.130.16018: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.223042 IP 192.168.5.130.1154 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.223092 IP 192.168.5.129.58717 > 192.168.5.130.3369: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.223167 IP 192.168.5.130.rfe > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.223211 IP 192.168.5.130.16018 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.223237 IP 192.168.5.130.3369 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.223272 IP 192.168.5.129.58717 > 192.168.5.130.8084: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.223319 IP 192.168.5.129.58717 > 192.168.5.130.1075: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.223409 IP 192.168.5.130.8084 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.223445 IP 192.168.5.129.58717 > 192.168.5.130.10003: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.223480 IP 192.168.5.129.58717 > 192.168.5.130.1021: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.223500 IP 192.168.5.129.58717 > 192.168.5.130.bpcd: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.223528 IP 192.168.5.130.1075 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.223585 IP 192.168.5.130.10003 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.223639 IP 192.168.5.129.58717 > 192.168.5.130.32771: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.223679 IP 192.168.5.130.1021 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.223746 IP 192.168.5.130.bpcd > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.223771 IP 192.168.5.130.32771 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.223806 IP 192.168.5.129.58717 > 192.168.5.130.3737: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.223832 IP 192.168.5.129.58717 > 192.168.5.130.10215: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.223915 IP 192.168.5.129.58717 > 192.168.5.130.666: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.223946 IP 192.168.5.129.58717 > 192.168.5.130.5500: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.223970 IP 192.168.5.129.58717 > 192.168.5.130.1717: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.224007 IP 192.168.5.130.3737 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.224049 IP 192.168.5.130.10215 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.224136 IP 192.168.5.130.666 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.224184 IP 192.168.5.130.5500 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.224208 IP 192.168.5.130.1717 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.224246 IP 192.168.5.129.58717 > 192.168.5.130.9594: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.224280 IP 192.168.5.129.58717 > 192.168.5.130.425: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.224315 IP 192.168.5.129.58717 > 192.168.5.130.8093: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.224420 IP 192.168.5.130.9594 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.224455 IP 192.168.5.130.425 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.224507 IP 192.168.5.129.58717 > 192.168.5.130.nameserver: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.224550 IP 192.168.5.130.8093 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.224668 IP 192.168.5.130.nameserver > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.317390 IP 192.168.5.129.58717 > 192.168.5.130.9485: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.317649 IP 192.168.5.129.58717 > 192.168.5.130.1121: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.317751 IP 192.168.5.129.58717 > 192.168.5.130.1216: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.318368 IP 192.168.5.129.58717 > 192.168.5.130.5988: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.319017 IP 192.168.5.129.58717 > 192.168.5.130.8899: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.319155 IP 192.168.5.130.9485 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.319392 IP 192.168.5.130.1121 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.319487 IP 192.168.5.130.1216 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.319828 IP 192.168.5.130.5988 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.319976 IP 192.168.5.130.8899 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.320106 IP 192.168.5.129.58717 > 192.168.5.130.1199: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.320369 IP 192.168.5.129.58717 > 192.168.5.130.1114: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.320533 IP 192.168.5.129.58717 > 192.168.5.130.32784: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.320639 IP 192.168.5.129.58717 > 192.168.5.130.49165: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.320768 IP 192.168.5.130.1199 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.320949 IP 192.168.5.129.58717 > 192.168.5.130.rootd: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.321046 IP 192.168.5.129.58717 > 192.168.5.130.27355: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.321218 IP 192.168.5.129.58717 > 192.168.5.130.1063: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.321389 IP 192.168.5.129.58717 > 192.168.5.130.5902: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.321506 IP 192.168.5.129.58717 > 192.168.5.130.omirr: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.321665 IP 192.168.5.129.58717 > 192.168.5.130.683: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.321861 IP 192.168.5.129.58717 > 192.168.5.130.4443: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.322028 IP 192.168.5.129.58717 > 192.168.5.130.1248: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.322183 IP 192.168.5.129.58717 > 192.168.5.130.55600: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.322340 IP 192.168.5.129.58717 > 192.168.5.130.3325: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.322498 IP 192.168.5.129.58717 > 192.168.5.130.1059: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.322853 IP 192.168.5.129.58717 > 192.168.5.130.5033: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.323015 IP 192.168.5.129.58717 > 192.168.5.130.7200: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.323157 IP 192.168.5.129.58717 > 192.168.5.130.5226: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.323307 IP 192.168.5.129.58717 > 192.168.5.130.3001: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.323490 IP 192.168.5.129.58717 > 192.168.5.130.800: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.323665 IP 192.168.5.129.58717 > 192.168.5.130.1070: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.323791 IP 192.168.5.129.58717 > 192.168.5.130.7999: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.323919 IP 192.168.5.129.58717 > 192.168.5.130.12000: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.323999 IP 192.168.5.129.58717 > 192.168.5.130.44443: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.324053 IP 192.168.5.129.58717 > 192.168.5.130.3784: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.324123 IP 192.168.5.129.58717 > 192.168.5.130.5054: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.324220 IP 192.168.5.129.58717 > 192.168.5.130.898: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.324290 IP 192.168.5.129.58717 > 192.168.5.130.2161: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:37.324438 IP 192.168.5.130.1114 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.324551 IP 192.168.5.130.32784 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.324720 IP 192.168.5.130.49165 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.324819 IP 192.168.5.130.rootd > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.324989 IP 192.168.5.130.27355 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.325089 IP 192.168.5.130.1063 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.325259 IP 192.168.5.130.5902 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.325355 IP 192.168.5.130.omirr > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.325436 IP 192.168.5.130.683 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.325513 IP 192.168.5.130.4443 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.325591 IP 192.168.5.130.1248 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.325661 IP 192.168.5.130.55600 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.325735 IP 192.168.5.130.3325 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.325802 IP 192.168.5.130.1059 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.325906 IP 192.168.5.130.5033 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.326014 IP 192.168.5.130.7200 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.326159 IP 192.168.5.130.5226 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.326255 IP 192.168.5.130.3001 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.326441 IP 192.168.5.130.800 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.326533 IP 192.168.5.130.1070 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.326625 IP 192.168.5.130.7999 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.326718 IP 192.168.5.130.12000 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.326824 IP 192.168.5.130.44443 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.326931 IP 192.168.5.130.3784 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.327041 IP 192.168.5.130.5054 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.327153 IP 192.168.5.130.898 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.327259 IP 192.168.5.130.2161 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:37.417335 IP 192.168.5.129.58718 > 192.168.5.130.9485: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:37.418010 IP 192.168.5.130.9485 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:37.421063 IP 192.168.5.129.58718 > 192.168.5.130.49165: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:37.421295 IP 192.168.5.129.58718 > 192.168.5.130.32784: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:37.421435 IP 192.168.5.129.58718 > 192.168.5.130.1114: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:37.421543 IP 192.168.5.129.58718 > 192.168.5.130.1199: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:37.421627 IP 192.168.5.129.58718 > 192.168.5.130.8899: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:37.421778 IP 192.168.5.130.49165 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:37.421888 IP 192.168.5.130.32784 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:37.422085 IP 192.168.5.129.58718 > 192.168.5.130.5988: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:37.422181 IP 192.168.5.129.58718 > 192.168.5.130.1216: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:37.422292 IP 192.168.5.130.1114 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:37.422369 IP 192.168.5.130.1199 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:37.422447 IP 192.168.5.130.8899 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:37.422547 IP 192.168.5.129.58718 > 192.168.5.130.1121: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
